"Notes"	"Age Group"	"Age Group Code"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Standard Error
	"1-4 years"	"1-4"	"California"	"06"	"2001"	"2001"	17	1964941	0.865	0.210
	"1-4 years"	"1-4"	"California"	"06"	"2002"	"2002"	17	1977376	0.860	0.209
	"1-4 years"	"1-4"	"California"	"06"	"2006"	"2006"	16	2019232	0.792	0.198
	"1-4 years"	"1-4"	"California"	"06"	"2007"	"2007"	18	2018510	0.892	0.210
	"1-4 years"	"1-4"	"California"	"06"	"2008"	"2008"	17	2031645	0.837	0.203
	"1-4 years"	"1-4"	"California"	"06"	"2011"	"2011"	18	2024163	0.889	0.210
	"1-4 years"	"1-4"	"Texas"	"48"	"2008"	"2008"	16	1528319	1.047	0.262
	"5-9 years"	"5-9"	"California"	"06"	"1999"	"1999"	27	2748888	0.982	0.189
	"5-9 years"	"5-9"	"California"	"06"	"2000"	"2000"	30	2717425	1.104	0.202
	"5-9 years"	"5-9"	"California"	"06"	"2001"	"2001"	17	2671134	0.636	0.154
	"5-9 years"	"5-9"	"California"	"06"	"2002"	"2002"	25	2607616	0.959	0.192
	"5-9 years"	"5-9"	"California"	"06"	"2003"	"2003"	29	2548508	1.138	0.211
	"5-9 years"	"5-9"	"California"	"06"	"2004"	"2004"	33	2486084	1.327	0.231
	"5-9 years"	"5-9"	"California"	"06"	"2005"	"2005"	17	2426913	0.700	0.170
	"5-9 years"	"5-9"	"California"	"06"	"2006"	"2006"	24	2408374	0.997	0.203
	"5-9 years"	"5-9"	"California"	"06"	"2007"	"2007"	21	2398296	0.876	0.191
	"5-9 years"	"5-9"	"California"	"06"	"2008"	"2008"	26	2423440	1.073	0.210
	"5-9 years"	"5-9"	"California"	"06"	"2009"	"2009"	25	2465467	1.014	0.203
	"5-9 years"	"5-9"	"California"	"06"	"2010"	"2010"	23	2504746	0.918	0.191
	"5-9 years"	"5-9"	"California"	"06"	"2011"	"2011"	17	2512748	0.677	0.164
	"5-9 years"	"5-9"	"California"	"06"	"2012"	"2012"	19	2538033	0.749	0.172
	"5-9 years"	"5-9"	"California"	"06"	"2013"	"2013"	33	2556133	1.291	0.225
	"5-9 years"	"5-9"	"California"	"06"	"2014"	"2014"	30	2550998	1.176	0.215
	"5-9 years"	"5-9"	"California"	"06"	"2015"	"2015"	21	2541392	0.826	0.180
	"5-9 years"	"5-9"	"California"	"06"	"2016"	"2016"	27	2536020	1.065	0.205
	"5-9 years"	"5-9"	"California"	"06"	"2017"	"2017"	20	2511576	0.796	0.178
	"5-9 years"	"5-9"	"California"	"06"	"2018"	"2018"	19	2487561	0.764	0.175
	"5-9 years"	"5-9"	"Florida"	"12"	"2015"	"2015"	17	1132016	1.502	0.364
	"5-9 years"	"5-9"	"New York"	"36"	"2011"	"2011"	16	1155375	1.385	0.346
	"5-9 years"	"5-9"	"Texas"	"48"	"1999"	"1999"	21	1640288	1.280	0.279
	"5-9 years"	"5-9"	"Texas"	"48"	"2001"	"2001"	16	1645825	0.972	0.243
	"5-9 years"	"5-9"	"Texas"	"48"	"2002"	"2002"	18	1639044	1.098	0.259
	"5-9 years"	"5-9"	"Texas"	"48"	"2003"	"2003"	16	1636310	0.978	0.244
	"5-9 years"	"5-9"	"Texas"	"48"	"2005"	"2005"	18	1657556	1.086	0.256
	"5-9 years"	"5-9"	"Texas"	"48"	"2006"	"2006"	17	1718006	0.990	0.240
	"5-9 years"	"5-9"	"Texas"	"48"	"2007"	"2007"	16	1769005	0.904	0.226
	"5-9 years"	"5-9"	"Texas"	"48"	"2008"	"2008"	22	1823831	1.206	0.257
	"5-9 years"	"5-9"	"Texas"	"48"	"2009"	"2009"	18	1888686	0.953	0.225
	"5-9 years"	"5-9"	"Texas"	"48"	"2010"	"2010"	21	1931017	1.088	0.237
	"5-9 years"	"5-9"	"Texas"	"48"	"2011"	"2011"	18	1948502	0.924	0.218
	"5-9 years"	"5-9"	"Texas"	"48"	"2012"	"2012"	17	1975983	0.860	0.209
	"5-9 years"	"5-9"	"Texas"	"48"	"2013"	"2013"	29	2000048	1.450	0.269
	"5-9 years"	"5-9"	"Texas"	"48"	"2014"	"2014"	23	2016578	1.141	0.238
	"5-9 years"	"5-9"	"Texas"	"48"	"2015"	"2015"	23	2035972	1.130	0.236
	"5-9 years"	"5-9"	"Texas"	"48"	"2016"	"2016"	18	2048630	0.879	0.207
	"5-9 years"	"5-9"	"Texas"	"48"	"2017"	"2017"	22	2046907	1.075	0.229
	"5-9 years"	"5-9"	"Texas"	"48"	"2018"	"2018"	17	2045809	0.831	0.202
	"10-14 years"	"10-14"	"California"	"06"	"1999"	"1999"	27	2497890	1.081	0.208
	"10-14 years"	"10-14"	"California"	"06"	"2000"	"2000"	18	2587669	0.696	0.164
	"10-14 years"	"10-14"	"California"	"06"	"2002"	"2002"	28	2739123	1.022	0.193
	"10-14 years"	"10-14"	"California"	"06"	"2003"	"2003"	21	2781873	0.755	0.165
	"10-14 years"	"10-14"	"California"	"06"	"2004"	"2004"	21	2799010	0.750	0.164
	"10-14 years"	"10-14"	"California"	"06"	"2006"	"2006"	20	2734680	0.731	0.164
	"10-14 years"	"10-14"	"California"	"06"	"2007"	"2007"	17	2681413	0.634	0.154
	"10-14 years"	"10-14"	"California"	"06"	"2008"	"2008"	19	2640937	0.719	0.165
	"10-14 years"	"10-14"	"California"	"06"	"2010"	"2010"	20	2583939	0.774	0.173
	"10-14 years"	"10-14"	"California"	"06"	"2012"	"2012"	21	2537103	0.828	0.181
	"10-14 years"	"10-14"	"California"	"06"	"2013"	"2013"	16	2525699	0.633	0.158
	"10-14 years"	"10-14"	"California"	"06"	"2014"	"2014"	19	2524023	0.753	0.173
