"Notes"	"Age Groups"	"Age Groups Code"	"States"	"States Code"	"Year"	"Year Code"	Count	Population	Crude Rate	Crude Rate Standard Error
	"< 1 year"	"1"	"California"	"06"	"2001"	"2001"	18	524357	3.433	0.809
	"< 1 year"	"1"	"California"	"06"	"2002"	"2002"	22	514905	4.273	0.911
	"< 1 year"	"1"	"California"	"06"	"2003"	"2003"	19	522195	3.638	0.835
	"< 1 year"	"1"	"California"	"06"	"2004"	"2004"	23	520350	4.420	0.922
	"< 1 year"	"1"	"California"	"06"	"2005"	"2005"	19	522403	3.637	0.834
	"< 1 year"	"1"	"California"	"06"	"2006"	"2006"	16	520189	3.076	0.769
	"< 1 year"	"1"	"California"	"06"	"2007"	"2007"	24	527233	4.552	0.929
	"< 1 year"	"1"	"California"	"06"	"2008"	"2008"	22	529416	4.156	0.886
	"< 1 year"	"1"	"California"	"06"	"2009"	"2009"	19	499021	3.807	0.873
	"< 1 year"	"1"	"California"	"06"	"2010"	"2010"	18	495726	3.631	0.856
	"< 1 year"	"1"	"California"	"06"	"2013"	"2013"	22	499599	4.404	0.939
	"< 1 year"	"1"	"California"	"06"	"2017"	"2017"	17	482259	3.525	0.855
	"< 1 year"	"1"	"Florida"	"12"	"2004"	"2004"	17	209821	8.102	1.965
	"< 1 year"	"1"	"Texas"	"48"	"2000"	"2000"	17	337037	5.044	1.223
	"< 1 year"	"1"	"Texas"	"48"	"2001"	"2001"	16	360971	4.432	1.108
	"< 1 year"	"1"	"Texas"	"48"	"2004"	"2004"	21	369247	5.687	1.241
	"< 1 year"	"1"	"Texas"	"48"	"2007"	"2007"	16	385276	4.153	1.038
	"< 1 year"	"1"	"Texas"	"48"	"2009"	"2009"	18	385537	4.669	1.100
	"< 1 year"	"1"	"Texas"	"48"	"2011"	"2011"	24	380164	6.313	1.289
	"< 1 year"	"1"	"Texas"	"48"	"2013"	"2013"	18	383188	4.697	1.107
	"< 1 year"	"1"	"Texas"	"48"	"2015"	"2015"	18	401288	4.486	1.057
	"< 1 year"	"1"	"Texas"	"48"	"2016"	"2016"	16	400157	3.998	1.000
	"< 1 year"	"1"	"Texas"	"48"	"2017"	"2017"	16	390513	4.097	1.024
	"1-4 years"	"1-4"	"Arizona"	"04"	"2005"	"2005"	20	354673	5.639	1.261
	"1-4 years"	"1-4"	"Arizona"	"04"	"2006"	"2006"	22	365546	6.018	1.283
	"1-4 years"	"1-4"	"Arizona"	"04"	"2007"	"2007"	21	373503	5.622	1.227
	"1-4 years"	"1-4"	"Arizona"	"04"	"2009"	"2009"	19	376933	5.041	1.156
	"1-4 years"	"1-4"	"Arizona"	"04"	"2011"	"2011"	19	359504	5.285	1.212
	"1-4 years"	"1-4"	"Arizona"	"04"	"2016"	"2016"	18	351987	5.114	1.205
	"1-4 years"	"1-4"	"California"	"06"	"1999"	"1999"	84	2026500	4.145	0.452
	"1-4 years"	"1-4"	"California"	"06"	"2000"	"2000"	74	1998217	3.703	0.431
	"1-4 years"	"1-4"	"California"	"06"	"2001"	"2001"	75	1964941	3.817	0.441
	"1-4 years"	"1-4"	"California"	"06"	"2002"	"2002"	73	1977376	3.692	0.432
	"1-4 years"	"1-4"	"California"	"06"	"2003"	"2003"	73	1995546	3.658	0.428
	"1-4 years"	"1-4"	"California"	"06"	"2004"	"2004"	64	2021415	3.166	0.396
	"1-4 years"	"1-4"	"California"	"06"	"2005"	"2005"	82	2033212	4.033	0.445
	"1-4 years"	"1-4"	"California"	"06"	"2006"	"2006"	82	2019232	4.061	0.448
	"1-4 years"	"1-4"	"California"	"06"	"2007"	"2007"	92	2018510	4.558	0.475
	"1-4 years"	"1-4"	"California"	"06"	"2008"	"2008"	72	2031645	3.544	0.418
	"1-4 years"	"1-4"	"California"	"06"	"2009"	"2009"	80	2045700	3.911	0.437
	"1-4 years"	"1-4"	"California"	"06"	"2010"	"2010"	86	2034425	4.227	0.456
	"1-4 years"	"1-4"	"California"	"06"	"2011"	"2011"	66	2024163	3.261	0.401
	"1-4 years"	"1-4"	"California"	"06"	"2012"	"2012"	82	2017866	4.064	0.449
	"1-4 years"	"1-4"	"California"	"06"	"2013"	"2013"	69	2001353	3.448	0.415
	"1-4 years"	"1-4"	"California"	"06"	"2014"	"2014"	86	2006186	4.287	0.462
	"1-4 years"	"1-4"	"California"	"06"	"2015"	"2015"	73	2007159	3.637	0.426
	"1-4 years"	"1-4"	"California"	"06"	"2016"	"2016"	78	1995890	3.908	0.442
	"1-4 years"	"1-4"	"California"	"06"	"2017"	"2017"	66	1984092	3.326	0.409
	"1-4 years"	"1-4"	"California"	"06"	"2018"	"2018"	79	1961485	4.028	0.453
	"1-4 years"	"1-4"	"Colorado"	"08"	"2010"	"2010"	16	277162	5.773	1.443
	"1-4 years"	"1-4"	"Colorado"	"08"	"2012"	"2012"	17	273734	6.210	1.506
	"1-4 years"	"1-4"	"Colorado"	"08"	"2014"	"2014"	24	268762	8.930	1.823
	"1-4 years"	"1-4"	"Colorado"	"08"	"2017"	"2017"	22	269155	8.174	1.743
	"1-4 years"	"1-4"	"Florida"	"12"	"1999"	"1999"	32	754054	4.244	0.750
	"1-4 years"	"1-4"	"Florida"	"12"	"2000"	"2000"	41	756955	5.416	0.846
	"1-4 years"	"1-4"	"Florida"	"12"	"2001"	"2001"	32	762503	4.197	0.742
	"1-4 years"	"1-4"	"Florida"	"12"	"2002"	"2002"	38	786434	4.832	0.784
	"1-4 years"	"1-4"	"Florida"	"12"	"2003"	"2003"	45	806015	5.583	0.832
	"1-4 years"	"1-4"	"Florida"	"12"	"2004"	"2004"	40	830348	4.817	0.762
	"1-4 years"	"1-4"	"Florida"	"12"	"2005"	"2005"	47	853660	5.506	0.803
	"1-4 years"	"1-4"	"Florida"	"12"	"2006"	"2006"	53	859431	6.167	0.847
	"1-4 years"	"1-4"	"Florida"	"12"	"2007"	"2007"	38	861423	4.411	0.716
	"1-4 years"	"1-4"	"Florida"	"12"	"2008"	"2008"	53	863428	6.138	0.843
	"1-4 years"	"1-4"	"Florida"	"12"	"2009"	"2009"	36	867452	4.150	0.692
	"1-4 years"	"1-4"	"Florida"	"12"	"2010"	"2010"	44	863520	5.095	0.768
	"1-4 years"	"1-4"	"Florida"	"12"	"2011"	"2011"	41	859358	4.771	0.745
	"1-4 years"	"1-4"	"Florida"	"12"	"2012"	"2012"	41	858804	4.774	0.746
	"1-4 years"	"1-4"	"Florida"	"12"	"2013"	"2013"	41	858954	4.773	0.745
	"1-4 years"	"1-4"	"Florida"	"12"	"2014"	"2014"	45	868482	5.181	0.772
	"1-4 years"	"1-4"	"Florida"	"12"	"2015"	"2015"	45	885499	5.082	0.758
	"1-4 years"	"1-4"	"Florida"	"12"	"2016"	"2016"	31	901165	3.440	0.618
	"1-4 years"	"1-4"	"Florida"	"12"	"2017"	"2017"	41	913161	4.490	0.701
	"1-4 years"	"1-4"	"Florida"	"12"	"2018"	"2018"	37	920060	4.021	0.661
	"1-4 years"	"1-4"	"Georgia"	"13"	"1999"	"1999"	17	463161	3.670	0.890
	"1-4 years"	"1-4"	"Georgia"	"13"	"2000"	"2000"	17	473579	3.590	0.871
	"1-4 years"	"1-4"	"Georgia"	"13"	"2001"	"2001"	23	481287	4.779	0.996
	"1-4 years"	"1-4"	"Georgia"	"13"	"2002"	"2002"	25	498433	5.016	1.003
	"1-4 years"	"1-4"	"Georgia"	"13"	"2003"	"2003"	21	511289	4.107	0.896
	"1-4 years"	"1-4"	"Georgia"	"13"	"2004"	"2004"	28	521330	5.371	1.015
	"1-4 years"	"1-4"	"Georgia"	"13"	"2006"	"2006"	19	539388	3.523	0.808
	"1-4 years"	"1-4"	"Georgia"	"13"	"2007"	"2007"	25	549087	4.553	0.911
	"1-4 years"	"1-4"	"Georgia"	"13"	"2008"	"2008"	29	557645	5.200	0.966
	"1-4 years"	"1-4"	"Georgia"	"13"	"2009"	"2009"	17	558627	3.043	0.738
	"1-4 years"	"1-4"	"Georgia"	"13"	"2010"	"2010"	35	552133	6.339	1.071
	"1-4 years"	"1-4"	"Georgia"	"13"	"2011"	"2011"	23	547189	4.203	0.876
	"1-4 years"	"1-4"	"Georgia"	"13"	"2012"	"2012"	17	539960	3.148	0.764
	"1-4 years"	"1-4"	"Georgia"	"13"	"2013"	"2013"	27	533230	5.063	0.974
	"1-4 years"	"1-4"	"Georgia"	"13"	"2014"	"2014"	23	529322	4.345	0.906
	"1-4 years"	"1-4"	"Georgia"	"13"	"2015"	"2015"	29	528007	5.492	1.020
	"1-4 years"	"1-4"	"Georgia"	"13"	"2016"	"2016"	32	529621	6.042	1.068
	"1-4 years"	"1-4"	"Georgia"	"13"	"2017"	"2017"	22	529565	4.154	0.886
	"1-4 years"	"1-4"	"Georgia"	"13"	"2018"	"2018"	18	530836	3.391	0.799
	"1-4 years"	"1-4"	"Illinois"	"17"	"1999"	"1999"	23	708678	3.245	0.677
	"1-4 years"	"1-4"	"Illinois"	"17"	"2000"	"2000"	16	699946	2.286	0.571
	"1-4 years"	"1-4"	"Illinois"	"17"	"2001"	"2001"	31	691925	4.480	0.805
	"1-4 years"	"1-4"	"Illinois"	"17"	"2002"	"2002"	31	696170	4.453	0.800
	"1-4 years"	"1-4"	"Illinois"	"17"	"2003"	"2003"	21	696763	3.014	0.658
	"1-4 years"	"1-4"	"Illinois"	"17"	"2004"	"2004"	28	696198	4.022	0.760
	"1-4 years"	"1-4"	"Illinois"	"17"	"2005"	"2005"	40	695164	5.754	0.910
	"1-4 years"	"1-4"	"Illinois"	"17"	"2006"	"2006"	32	684749	4.673	0.826
	"1-4 years"	"1-4"	"Illinois"	"17"	"2007"	"2007"	32	680035	4.706	0.832
	"1-4 years"	"1-4"	"Illinois"	"17"	"2008"	"2008"	20	679695	2.942	0.658
