"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"State"	"State Code"	"Year"	"Year Code"	Mortality-Incidence Age-Adjusted Rate Ratio	Death Counts	Mortality Population	Incidence Counts	Incidence Population
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"1999"	"1999"	0.716	210	4430141	294	4430141
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2000"	"2000"	0.727	217	4452173	296	4452173
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2001"	"2001"	0.670	203	4467634	301	4467634
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2002"	"2002"	0.695	219	4480089	308	4480089
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2003"	"2003"	0.667	204	4503491	300	4503491
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2004"	"2004"	0.667	215	4530729	317	4530729
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2005"	"2005"	0.636	193	4565917	299	4565917
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2006"	"2006"	0.620	198	4628981	308	4628981
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2007"	"2007"	0.710	242	4672840	334	4672840
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2008"	"2008"	0.653	247	4718206	372	4718206
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2009"	"2009"	0.723	268	4757938	361	4757938
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2010"	"2010"	0.794	274	4785437	332	4785437
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2011"	"2011"	0.760	263	4799069	330	4799069
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2012"	"2012"	0.639	266	4815588	394	4815588
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2013"	"2013"	0.790	298	4830081	355	4830081
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2014"	"2014"	0.867	290	4841799	319	4841799
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2015"	"2015"	0.833	305	4852347	344	4852347
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2016"	"2016"	0.852	311	4863525	351	4863525
