"Notes"	"States"	"States Code"	"Year"	"Year Code"	"Childhood Cancers"	"Childhood Cancers Code"	Count	Population	Age-Adjusted Rate
	"Alabama"	"01"	"1999"	"1999"	"All Childhood Invasive Cancer Sites Combined"	"0"	157	1255857	124.630
	"Alabama"	"01"	"1999"	"1999"	"I Leukemia"	"10"	26	1255857	20.671
	"Alabama"	"01"	"1999"	"1999"	"II Lymphoma and reticuloendothelial neoplasms"	"20"	23	1255857	18.133
	"Alabama"	"01"	"1999"	"1999"	"III CNS and misc intracranial and intraspinal neoplasms"	"30"	29	1255857	23.265
	"Alabama"	"01"	"1999"	"1999"	"XI Carcinomas and other malignant epithelial neoplasms"	"110"	21	1255857	16.392
	"Alabama"	"01"	"2000"	"2000"	"All Childhood Invasive Cancer Sites Combined"	"0"	204	1255347	161.941
	"Alabama"	"01"	"2000"	"2000"	"I Leukemia"	"10"	39	1255347	31.221
	"Alabama"	"01"	"2000"	"2000"	"I(a) Lymphoid leukemias"	"11"	27	1255347	21.696
	"Alabama"	"01"	"2000"	"2000"	"II Lymphoma and reticuloendothelial neoplasms"	"20"	33	1255347	25.827
	"Alabama"	"01"	"2000"	"2000"	"III CNS and misc intracranial and intraspinal neoplasms"	"30"	34	1255347	27.094
	"Alabama"	"01"	"2000"	"2000"	"X Germ-cell, trophoblastic and other gonadal neoplasms"	"100"	16	1255347	12.537
	"Alabama"	"01"	"2000"	"2000"	"XI Carcinomas and other malignant epithelial neoplasms"	"110"	19	1255347	14.754
	"Alabama"	"01"	"2001"	"2001"	"All Childhood Invasive Cancer Sites Combined"	"0"	175	1249631	139.664
	"Alabama"	"01"	"2001"	"2001"	"I Leukemia"	"10"	48	1249631	38.678
	"Alabama"	"01"	"2001"	"2001"	"I(a) Lymphoid leukemias"	"11"	31	1249631	25.120
	"Alabama"	"01"	"2001"	"2001"	"II Lymphoma and reticuloendothelial neoplasms"	"20"	27	1249631	21.398
	"Alabama"	"01"	"2001"	"2001"	"III CNS and misc intracranial and intraspinal neoplasms"	"30"	22	1249631	17.662
	"Alabama"	"01"	"2001"	"2001"	"XI Carcinomas and other malignant epithelial neoplasms"	"110"	18	1249631	14.089
	"Alabama"	"01"	"2002"	"2002"	"All Childhood Invasive Cancer Sites Combined"	"0"	194	1244435	155.287
	"Alabama"	"01"	"2002"	"2002"	"I Leukemia"	"10"	52	1244435	41.849
	"Alabama"	"01"	"2002"	"2002"	"I(a) Lymphoid leukemias"	"11"	36	1244435	29.083
