"Notes"	"Cancer Sites"	"Cancer Sites Code"	"Region"	"Region Code"	"Year"	"Year Code"	"Race"	"Race Code"	Deaths	Population	Age-Adjusted Rate	Age-Adjusted Rate Standard Error
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"1999"	"1999"	"American Indian or Alaska Native"	"1002-5"	0	75338	0.000	0.000
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"1999"	"1999"	"Asian or Pacific Islander"	"A-PI"	0	635256	0.000	0.000
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"1999"	"1999"	"White"	"2106-3"	0	11395425	0.000	0.000
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"1999"	"1999"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2000"	"2000"	"American Indian or Alaska Native"	"1002-5"	0	81054	0.000	0.000
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2000"	"2000"	"Asian or Pacific Islander"	"A-PI"	0	659502	0.000	0.000
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2000"	"2000"	"Black or African American"	"2054-5"	0	2353484	0.000	0.000
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2000"	"2000"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2001"	"2001"	"American Indian or Alaska Native"	"1002-5"	0	85445	0.000	0.000
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2001"	"2001"	"Asian or Pacific Islander"	"A-PI"	0	684043	0.000	0.000
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2001"	"2001"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2002"	"2002"	"American Indian or Alaska Native"	"1002-5"	0	90434	0.000	0.000
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2002"	"2002"	"Asian or Pacific Islander"	"A-PI"	0	707165	0.000	0.000
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2002"	"2002"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2003"	"2003"	"American Indian or Alaska Native"	"1002-5"	0	95396	0.000	0.000
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2003"	"2003"	"Asian or Pacific Islander"	"A-PI"	0	729573	0.000	0.000
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2003"	"2003"	"Black or African American"	"2054-5"	0	2355665	0.000	0.000
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2003"	"2003"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2004"	"2004"	"American Indian or Alaska Native"	"1002-5"	0	100178	0.000	0.000
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2004"	"2004"	"Asian or Pacific Islander"	"A-PI"	0	749996	0.000	0.000
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2004"	"2004"	"Black or African American"	"2054-5"	0	2351190	0.000	0.000
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2004"	"2004"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2005"	"2005"	"American Indian or Alaska Native"	"1002-5"	0	105066	0.000	0.000
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2005"	"2005"	"Asian or Pacific Islander"	"A-PI"	0	769934	0.000	0.000
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2005"	"2005"	"Black or African American"	"2054-5"	0	2346679	0.000	0.000
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2005"	"2005"	"White"	"2106-3"	0	11096954	0.000	0.000
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2005"	"2005"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2006"	"2006"	"American Indian or Alaska Native"	"1002-5"	0	109915	0.000	0.000
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2006"	"2006"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2007"	"2007"	"American Indian or Alaska Native"	"1002-5"	0	115332	0.000	0.000
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2007"	"2007"	"Asian or Pacific Islander"	"A-PI"	0	812504	0.000	0.000
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2007"	"2007"	"White"	"2106-3"	0	10874820	0.000	0.000
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2007"	"2007"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2008"	"2008"	"American Indian or Alaska Native"	"1002-5"	0	122182	0.000	0.000
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2008"	"2008"	"Black or African American"	"2054-5"	0	2354812	0.000	0.000
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2008"	"2008"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2009"	"2009"	"American Indian or Alaska Native"	"1002-5"	0	129948	0.000	0.000
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2009"	"2009"	"Asian or Pacific Islander"	"A-PI"	0	860373	0.000	0.000
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2009"	"2009"	"Black or African American"	"2054-5"	0	2357408	0.000	0.000
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2009"	"2009"	"White"	"2106-3"	0	10680020	0.000	0.000
	"Lung and Bronchus"	"22030"	"Northeast"	"CENS-R1"	"2009"	"2009"	"Not Reported"	"100"	0	Not Applicable	Not Applicable	Not Applicable
