"Notes"	"States"	"States Code"	"Year"	"Year Code"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	Count	Population	Age-Adjusted Rate
	"Alabama"	"01"	"1999"	"1999"	"Brain and Other Nervous System"	"31010-31040"	294	4430141	6.541
	"Alabama"	"01"	"1999"	"1999"	"Breast"	"26000"	3033	4430141	67.421
	"Alabama"	"01"	"1999"	"1999"	"Cervix Uteri"	"27010"	237	2293259	10.081
	"Alabama"	"01"	"1999"	"1999"	"Colon and Rectum"	"21041-21052"	2250	4430141	49.717
	"Alabama"	"01"	"1999"	"1999"	"Corpus Uteri"	"27020"	426	2293259	16.887
	"Alabama"	"01"	"1999"	"1999"	"Esophagus"	"21010"	204	4430141	4.483
	"Alabama"	"01"	"1999"	"1999"	"Gallbladder"	"21080"	38	4430141	0.855
	"Alabama"	"01"	"1999"	"1999"	"Kidney and Renal Pelvis"	"29020"	452	4430141	9.937
	"Alabama"	"01"	"1999"	"1999"	"Larynx"	"22020"	223	4430141	4.853
	"Alabama"	"01"	"1999"	"1999"	"Leukemias"	"35011-35043"	419	4430141	9.338
	"Alabama"	"01"	"1999"	"1999"	"Liver"	"21071"	162	4430141	3.626
	"Alabama"	"01"	"1999"	"1999"	"Lung and Bronchus"	"22030"	3339	4430141	72.836
	"Alabama"	"01"	"1999"	"1999"	"Melanoma of the Skin"	"25010"	605	4430141	13.479
	"Alabama"	"01"	"1999"	"1999"	"Myeloma"	"34000"	232	4430141	5.093
	"Alabama"	"01"	"1999"	"1999"	"Non-Hodgkin Lymphoma"	"33041-33042"	715	4430141	15.839
	"Alabama"	"01"	"1999"	"1999"	"Oral Cavity and Pharynx"	"20010-20100"	490	4430141	10.845
	"Alabama"	"01"	"1999"	"1999"	"Ovary"	"27040"	309	2293259	12.048
	"Alabama"	"01"	"1999"	"1999"	"Pancreas"	"21100"	507	4430141	11.218
	"Alabama"	"01"	"1999"	"1999"	"Prostate"	"28010"	2549	2136882	129.195
	"Alabama"	"01"	"1999"	"1999"	"Stomach"	"21020"	328	4430141	7.274
	"Alabama"	"01"	"1999"	"1999"	"Thyroid"	"32010"	259	4430141	5.822
	"Alabama"	"01"	"1999"	"1999"	"Urinary Bladder, invasive and in situ"	"29010"	740	4430141	16.316
	"Alabama"	"01"	"2000"	"2000"	"Brain and Other Nervous System"	"31010-31040"	296	4452173	6.542
	"Alabama"	"01"	"2000"	"2000"	"Breast"	"26000"	2996	4452173	65.624
	"Alabama"	"01"	"2000"	"2000"	"Cervix Uteri"	"27010"	237	2302835	9.914
	"Alabama"	"01"	"2000"	"2000"	"Colon and Rectum"	"21041-21052"	2305	4452173	50.476
	"Alabama"	"01"	"2000"	"2000"	"Corpus Uteri"	"27020"	420	2302835	16.321
	"Alabama"	"01"	"2000"	"2000"	"Esophagus"	"21010"	212	4452173	4.551
	"Alabama"	"01"	"2000"	"2000"	"Gallbladder"	"21080"	40	4452173	0.882
	"Alabama"	"01"	"2000"	"2000"	"Kidney and Renal Pelvis"	"29020"	507	4452173	11.038
	"Alabama"	"01"	"2000"	"2000"	"Larynx"	"22020"	243	4452173	5.247
	"Alabama"	"01"	"2000"	"2000"	"Leukemias"	"35011-35043"	444	4452173	9.802
	"Alabama"	"01"	"2000"	"2000"	"Liver"	"21071"	176	4452173	3.836
	"Alabama"	"01"	"2000"	"2000"	"Lung and Bronchus"	"22030"	3440	4452173	74.365
