"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Age-Adjusted Rate
	"Alabama"	"01"	"1999"	"1999"	44	1255857	3.490
	"Alabama"	"01"	"2000"	"2000"	28	1255347	2.218
	"Alabama"	"01"	"2001"	"2001"	30	1249631	2.383
	"Alabama"	"01"	"2002"	"2002"	32	1244435	2.555
	"Alabama"	"01"	"2003"	"2003"	37	1242649	2.986
	"Alabama"	"01"	"2004"	"2004"	44	1244847	3.493
	"Alabama"	"01"	"2005"	"2005"	25	1247558	1.984
	"Alabama"	"01"	"2006"	"2006"	25	1259673	1.984
	"Alabama"	"01"	"2007"	"2007"	29	1267999	2.310
	"Alabama"	"01"	"2008"	"2008"	38	1276607	2.957
	"Alabama"	"01"	"2009"	"2009"	27	1278959	2.056
	"Alabama"	"01"	"2010"	"2010"	23	1272444	1.833
	"Alabama"	"01"	"2011"	"2011"	20	1258876	1.568
	"Alabama"	"01"	"2012"	"2012"	25	1248482	1.993
	"Alabama"	"01"	"2013"	"2013"	28	1239500	2.266
	"Alabama"	"01"	"2014"	"2014"	31	1231899	2.502
	"Alabama"	"01"	"2015"	"2015"	28	1227996	2.274
	"Alabama"	"01"	"2016"	"2016"	28	1225173	2.271
	"Alabama"	"01"	"2017"	"2017"	38	1222085	3.099
	"Alabama"	"01"	"2018"	"2018"	25	1219436	2.052
"Total"	"Alabama"	"01"			605	24969453	2.412
"Total"	"Alaska"	"02"			83	4122251	2.020
	"Arizona"	"04"	"1999"	"1999"	39	1480412	2.649
	"Arizona"	"04"	"2000"	"2000"	48	1525842	3.154
	"Arizona"	"04"	"2001"	"2001"	49	1546638	3.197
	"Arizona"	"04"	"2002"	"2002"	41	1575649	2.641
	"Arizona"	"04"	"2003"	"2003"	43	1606325	2.691
	"Arizona"	"04"	"2004"	"2004"	47	1643951	2.843
	"Arizona"	"04"	"2005"	"2005"	38	1693743	2.295
	"Arizona"	"04"	"2006"	"2006"	36	1745335	2.057
	"Arizona"	"04"	"2007"	"2007"	59	1785103	3.329
	"Arizona"	"04"	"2008"	"2008"	54	1814820	2.951
	"Arizona"	"04"	"2009"	"2009"	49	1817884	2.698
	"Arizona"	"04"	"2010"	"2010"	43	1815534	2.363
	"Arizona"	"04"	"2011"	"2011"	46	1800863	2.556
	"Arizona"	"04"	"2012"	"2012"	46	1799876	2.555
	"Arizona"	"04"	"2013"	"2013"	44	1800711	2.444
	"Arizona"	"04"	"2014"	"2014"	48	1807135	2.658
	"Arizona"	"04"	"2015"	"2015"	31	1813861	1.701
	"Arizona"	"04"	"2016"	"2016"	32	1823371	1.753
	"Arizona"	"04"	"2017"	"2017"	40	1826057	2.197
	"Arizona"	"04"	"2018"	"2018"	42	1832619	2.295
"Total"	"Arizona"	"04"			875	34555729	2.533
	"Arkansas"	"05"	"1999"	"1999"	18	762405	2.349
	"Arkansas"	"05"	"2000"	"2000"	25	760784	3.270
	"Arkansas"	"05"	"2001"	"2001"	16	756879	2.100
	"Arkansas"	"05"	"2002"	"2002"	30	755574	3.971
