"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Age-Adjusted Rate
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2005"	"2005"	17	1693743	1.029
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2007"	"2007"	18	1785103	1.003
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2014"	"2014"	16	1807135	0.884
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2017"	"2017"	16	1826057	0.886
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"1999"	"1999"	82	10162042	0.803
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2000"	"2000"	75	10255924	0.725
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2001"	"2001"	64	10313880	0.619
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2002"	"2002"	87	10354903	0.835
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2003"	"2003"	78	10407621	0.751
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2004"	"2004"	82	10443725	0.794
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2005"	"2005"	62	10441553	0.597
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2006"	"2006"	81	10426324	0.784
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2007"	"2007"	69	10419053	0.672
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2008"	"2008"	80	10448668	0.776
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2009"	"2009"	65	10451060	0.630
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2010"	"2010"	67	10427122	0.653
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2011"	"2011"	67	10353903	0.645
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2012"	"2012"	65	10287848	0.636
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2013"	"2013"	86	10239242	0.841
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2014"	"2014"	72	10198085	0.710
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2015"	"2015"	74	10165907	0.731
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2016"	"2016"	80	10122391	0.791
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2017"	"2017"	61	10072493	0.607
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2018"	"2018"	52	10002984	0.522
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2008"	"2008"	17	1341086	1.273
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"1999"	"1999"	22	4003280	0.547
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2000"	"2000"	29	4058589	0.707
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2001"	"2001"	31	4121474	0.751
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2002"	"2002"	31	4190302	0.743
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2003"	"2003"	16	4252139	0.376
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2004"	"2004"	21	4338695	0.489
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2005"	"2005"	30	4426511	0.694
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2006"	"2006"	29	4495577	0.667
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2007"	"2007"	31	4520513	0.700
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2008"	"2008"	22	4527628	0.494
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2009"	"2009"	29	4513647	0.654
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2010"	"2010"	28	4502829	0.623
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2011"	"2011"	31	4484509	0.696
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2012"	"2012"	29	4480062	0.652
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2013"	"2013"	26	4494301	0.578
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2014"	"2014"	34	4518227	0.752
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2015"	"2015"	34	4565764	0.751
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2016"	"2016"	43	4628015	0.930
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2017"	"2017"	36	4676055	0.773
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2018"	"2018"	27	4704922	0.577
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"1999"	"1999"	18	2373428	0.762
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2000"	"2000"	16	2422975	0.660
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2003"	"2003"	18	2526258	0.713
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2004"	"2004"	17	2563023	0.663
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2006"	"2006"	16	2669592	0.598
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2008"	"2008"	16	2763796	0.575
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2010"	"2010"	17	2780390	0.609
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2011"	"2011"	26	2774831	0.936
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2014"	"2014"	26	2766663	0.938
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2016"	"2016"	23	2789254	0.827
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2017"	"2017"	17	2795856	0.608
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2018"	"2018"	18	2799078	0.639
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"1999"	"1999"	28	3599110	0.782
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2000"	"2000"	16	3606347	0.444
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2001"	"2001"	25	3603190	0.696
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2002"	"2002"	25	3594189	0.695
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2003"	"2003"	24	3581302	0.674
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2004"	"2004"	17	3571714	0.481
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2005"	"2005"	16	3552913	0.459
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2006"	"2006"	21	3537020	0.603
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2007"	"2007"	17	3531290	0.481
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2008"	"2008"	16	3522622	0.458
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2010"	"2010"	23	3490249	0.663
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2011"	"2011"	19	3456390	0.554
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2012"	"2012"	17	3417238	0.501
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2013"	"2013"	24	3376957	0.711
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2015"	"2015"	25	3297373	0.760
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2016"	"2016"	21	3260087	0.646
	"Brain and Other Nervous System"	"31010-31040"	"Illinois"	"17"	"2017"	"2017"	23	3223517	0.711
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2007"	"2007"	16	1800421	0.892
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2013"	"2013"	17	1772586	0.962
	"Brain and Other Nervous System"	"31010-31040"	"Indiana"	"18"	"2015"	"2015"	17	1759877	0.971
	"Brain and Other Nervous System"	"31010-31040"	"Maryland"	"24"	"2014"	"2014"	16	1503919	1.076
	"Brain and Other Nervous System"	"31010-31040"	"Maryland"	"24"	"2015"	"2015"	16	1500675	1.069
	"Brain and Other Nervous System"	"31010-31040"	"Massachusetts"	"25"	"2017"	"2017"	16	1580007	1.022
	"Brain and Other Nervous System"	"31010-31040"	"Michigan"	"26"	"2000"	"2000"	24	2884980	0.836
	"Brain and Other Nervous System"	"31010-31040"	"Michigan"	"26"	"2001"	"2001"	16	2880673	0.553
	"Brain and Other Nervous System"	"31010-31040"	"Michigan"	"26"	"2003"	"2003"	18	2859024	0.625
	"Brain and Other Nervous System"	"31010-31040"	"Michigan"	"26"	"2004"	"2004"	21	2847180	0.743
	"Brain and Other Nervous System"	"31010-31040"	"Michigan"	"26"	"2006"	"2006"	17	2796852	0.616
	"Brain and Other Nervous System"	"31010-31040"	"Michigan"	"26"	"2007"	"2007"	21	2765779	0.769
	"Brain and Other Nervous System"	"31010-31040"	"Michigan"	"26"	"2008"	"2008"	18	2724448	0.669
	"Brain and Other Nervous System"	"31010-31040"	"Michigan"	"26"	"2009"	"2009"	22	2682344	0.851
	"Brain and Other Nervous System"	"31010-31040"	"Michigan"	"26"	"2010"	"2010"	23	2636481	0.892
	"Brain and Other Nervous System"	"31010-31040"	"Michigan"	"26"	"2011"	"2011"	17	2595952	0.674
	"Brain and Other Nervous System"	"31010-31040"	"Michigan"	"26"	"2012"	"2012"	24	2560936	0.924
	"Brain and Other Nervous System"	"31010-31040"	"Michigan"	"26"	"2014"	"2014"	18	2505654	0.726
	"Brain and Other Nervous System"	"31010-31040"	"Michigan"	"26"	"2015"	"2015"	16	2480323	0.654
	"Brain and Other Nervous System"	"31010-31040"	"Michigan"	"26"	"2017"	"2017"	18	2448860	0.745
	"Brain and Other Nervous System"	"31010-31040"	"Michigan"	"26"	"2018"	"2018"	23	2428750	0.976
	"Brain and Other Nervous System"	"31010-31040"	"Minnesota"	"27"	"2009"	"2009"	16	1433773	1.124
	"Brain and Other Nervous System"	"31010-31040"	"Missouri"	"29"	"2004"	"2004"	18	1590304	1.139
	"Brain and Other Nervous System"	"31010-31040"	"New Jersey"	"34"	"1999"	"1999"	18	2263704	0.780
	"Brain and Other Nervous System"	"31010-31040"	"New Jersey"	"34"	"2000"	"2000"	16	2285412	0.690
	"Brain and Other Nervous System"	"31010-31040"	"New Jersey"	"34"	"2010"	"2010"	16	2288935	0.696
	"Brain and Other Nervous System"	"31010-31040"	"New Jersey"	"34"	"2015"	"2015"	19	2200589	0.868
	"Brain and Other Nervous System"	"31010-31040"	"New Jersey"	"34"	"2018"	"2018"	17	2165370	0.783
	"Brain and Other Nervous System"	"31010-31040"	"New York"	"36"	"1999"	"1999"	30	5187922	0.575
	"Brain and Other Nervous System"	"31010-31040"	"New York"	"36"	"2000"	"2000"	19	5206876	0.364
	"Brain and Other Nervous System"	"31010-31040"	"New York"	"36"	"2001"	"2001"	31	5193778	0.596
	"Brain and Other Nervous System"	"31010-31040"	"New York"	"36"	"2002"	"2002"	28	5177855	0.543
	"Brain and Other Nervous System"	"31010-31040"	"New York"	"36"	"2003"	"2003"	35	5149468	0.683
