"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Age-Adjusted Rate
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Alabama"	"01"	210	4430141	4.682
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Alaska"	"02"	19	624779	4.265
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Arizona"	"04"	226	5023823	4.515
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Arkansas"	"05"	172	2651860	6.128
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"California"	"06"	1442	33499204	4.836
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Colorado"	"08"	163	4226018	4.439
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Connecticut"	"09"	157	3386401	4.322
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Delaware"	"10"	36	774990	4.591
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Florida"	"12"	773	15759421	4.065
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Georgia"	"13"	288	8045965	4.130
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Hawaii"	"15"	30	1210300	2.438
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Idaho"	"16"	79	1275674	6.615
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Illinois"	"17"	527	12359020	4.406
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Indiana"	"18"	289	6044969	4.852
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Iowa"	"19"	166	2917634	5.220
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Kansas"	"20"	140	2678338	5.205
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Kentucky"	"21"	188	4018053	4.669
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Louisiana"	"22"	182	4460811	4.362
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Maine"	"23"	77	1266808	5.593
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Maryland"	"24"	197	5254509	3.905
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Massachusetts"	"25"	305	6317345	4.670
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Michigan"	"26"	436	9897116	4.481
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Minnesota"	"27"	243	4873481	5.149
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Mississippi"	"28"	174	2828408	6.445
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Missouri"	"29"	288	5561948	5.025
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Montana"	"30"	48	897507	5.130
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Nebraska"	"31"	96	1704764	5.482
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"Nevada"	"32"	81	1934718	4.462
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"New Hampshire"	"33"	62	1222014	5.120
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"New Jersey"	"34"	349	8359592	4.044
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"New Mexico"	"35"	68	1808082	4.003
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"New York"	"36"	761	18882725	4.001
	"Brain and Other Nervous System"	"31010-31040"	"1999"	"1999"	"North Carolina"	"37"	372	7949361	4.763
