"Notes"	"States"	"States Code"	"Year"	"Year Code"	"Cancer Sites"	"Cancer Sites Code"	Count	Population	Age-Adjusted Rate
	"Alabama"	"01"	"1999"	"1999"	"Respiratory System"	"22010-22060"	3613	4430141	78.799
	"Alabama"	"01"	"1999"	"1999"	"Lung and Bronchus"	"22030"	3339	4430141	72.836
	"Alabama"	"01"	"1999"	"1999"	"Brain and Other Nervous System"	"31010-31040"	294	4430141	6.541
	"Alabama"	"01"	"1999"	"1999"	"Brain"	"31010"	277	4430141	6.160
	"Alabama"	"01"	"1999"	"1999"	"Cranial Nerves Other Nervous System"	"31040"	17	4430141	0.381
	"Alabama"	"01"	"2000"	"2000"	"Respiratory System"	"22010-22060"	3718	4452173	80.369
	"Alabama"	"01"	"2000"	"2000"	"Lung and Bronchus"	"22030"	3440	4452173	74.365
	"Alabama"	"01"	"2000"	"2000"	"Brain and Other Nervous System"	"31010-31040"	296	4452173	6.542
	"Alabama"	"01"	"2000"	"2000"	"Brain"	"31010"	271	4452173	5.983
	"Alabama"	"01"	"2000"	"2000"	"Cranial Nerves Other Nervous System"	"31040"	25	4452173	0.560
	"Alabama"	"01"	"2001"	"2001"	"Respiratory System"	"22010-22060"	3937	4467634	84.140
	"Alabama"	"01"	"2001"	"2001"	"Lung and Bronchus"	"22030"	3644	4467634	77.903
	"Alabama"	"01"	"2001"	"2001"	"Brain and Other Nervous System"	"31010-31040"	301	4467634	6.577
	"Alabama"	"01"	"2001"	"2001"	"Brain"	"31010"	280	4467634	6.118
	"Alabama"	"01"	"2001"	"2001"	"Cranial Nerves Other Nervous System"	"31040"	21	4467634	0.459
	"Alabama"	"01"	"2002"	"2002"	"Respiratory System"	"22010-22060"	3900	4480089	82.193
	"Alabama"	"01"	"2002"	"2002"	"Lung and Bronchus"	"22030"	3627	4480089	76.469
	"Alabama"	"01"	"2002"	"2002"	"Brain and Other Nervous System"	"31010-31040"	308	4480089	6.730
	"Alabama"	"01"	"2002"	"2002"	"Brain"	"31010"	282	4480089	6.168
	"Alabama"	"01"	"2002"	"2002"	"Cranial Nerves Other Nervous System"	"31040"	26	4480089	0.562
	"Alabama"	"01"	"2003"	"2003"	"Respiratory System"	"22010-22060"	3836	4503491	79.779
	"Alabama"	"01"	"2003"	"2003"	"Lung and Bronchus"	"22030"	3564	4503491	74.147
	"Alabama"	"01"	"2003"	"2003"	"Brain and Other Nervous System"	"31010-31040"	300	4503491	6.456
	"Alabama"	"01"	"2003"	"2003"	"Brain"	"31010"	267	4503491	5.725
	"Alabama"	"01"	"2003"	"2003"	"Cranial Nerves Other Nervous System"	"31040"	33	4503491	0.731
	"Alabama"	"01"	"2004"	"2004"	"Respiratory System"	"22010-22060"	4126	4530729	84.391
	"Alabama"	"01"	"2004"	"2004"	"Lung and Bronchus"	"22030"	3804	4530729	77.812
	"Alabama"	"01"	"2004"	"2004"	"Brain and Other Nervous System"	"31010-31040"	317	4530729	6.775
	"Alabama"	"01"	"2004"	"2004"	"Brain"	"31010"	286	4530729	6.105
	"Alabama"	"01"	"2004"	"2004"	"Cranial Nerves Other Nervous System"	"31040"	31	4530729	0.670
	"Alabama"	"01"	"2005"	"2005"	"Respiratory System"	"22010-22060"	4079	4565917	82.253
	"Alabama"	"01"	"2005"	"2005"	"Lung and Bronchus"	"22030"	3766	4565917	76.098
	"Alabama"	"01"	"2005"	"2005"	"Brain and Other Nervous System"	"31010-31040"	299	4565917	6.263
	"Alabama"	"01"	"2005"	"2005"	"Brain"	"31010"	279	4565917	5.843
	"Alabama"	"01"	"2005"	"2005"	"Cranial Nerves Other Nervous System"	"31040"	20	4565917	0.420
	"Alabama"	"01"	"2006"	"2006"	"Respiratory System"	"22010-22060"	4147	4628981	81.553
	"Alabama"	"01"	"2006"	"2006"	"Lung and Bronchus"	"22030"	3828	4628981	75.339
	"Alabama"	"01"	"2006"	"2006"	"Brain and Other Nervous System"	"31010-31040"	308	4628981	6.412
	"Alabama"	"01"	"2006"	"2006"	"Brain"	"31010"	295	4628981	6.145
	"Alabama"	"01"	"2007"	"2007"	"Respiratory System"	"22010-22060"	4198	4672840	81.131
	"Alabama"	"01"	"2007"	"2007"	"Lung and Bronchus"	"22030"	3868	4672840	74.826
	"Alabama"	"01"	"2007"	"2007"	"Brain and Other Nervous System"	"31010-31040"	334	4672840	6.765
	"Alabama"	"01"	"2007"	"2007"	"Brain"	"31010"	308	4672840	6.208
	"Alabama"	"01"	"2007"	"2007"	"Cranial Nerves Other Nervous System"	"31040"	26	4672840	0.557
	"Alabama"	"01"	"2008"	"2008"	"Respiratory System"	"22010-22060"	4474	4718206	84.706
	"Alabama"	"01"	"2008"	"2008"	"Lung and Bronchus"	"22030"	4130	4718206	78.247
	"Alabama"	"01"	"2008"	"2008"	"Brain and Other Nervous System"	"31010-31040"	372	4718206	7.392
	"Alabama"	"01"	"2008"	"2008"	"Brain"	"31010"	346	4718206	6.860
	"Alabama"	"01"	"2008"	"2008"	"Cranial Nerves Other Nervous System"	"31040"	26	4718206	0.531
	"Alabama"	"01"	"2009"	"2009"	"Respiratory System"	"22010-22060"	4381	4757938	81.368
	"Alabama"	"01"	"2009"	"2009"	"Lung and Bronchus"	"22030"	4052	4757938	75.362
	"Alabama"	"01"	"2009"	"2009"	"Brain and Other Nervous System"	"31010-31040"	361	4757938	7.089
	"Alabama"	"01"	"2009"	"2009"	"Brain"	"31010"	343	4757938	6.719
	"Alabama"	"01"	"2009"	"2009"	"Cranial Nerves Other Nervous System"	"31040"	18	4757938	0.370
	"Alabama"	"01"	"2010"	"2010"	"Respiratory System"	"22010-22060"	4359	4785437	79.000
	"Alabama"	"01"	"2010"	"2010"	"Lung and Bronchus"	"22030"	4038	4785437	73.232
	"Alabama"	"01"	"2010"	"2010"	"Brain and Other Nervous System"	"31010-31040"	332	4785437	6.432
	"Alabama"	"01"	"2010"	"2010"	"Brain"	"31010"	318	4785437	6.143
	"Alabama"	"01"	"2011"	"2011"	"Respiratory System"	"22010-22060"	4383	4799069	78.405
	"Alabama"	"01"	"2011"	"2011"	"Lung and Bronchus"	"22030"	4020	4799069	71.970
	"Alabama"	"01"	"2011"	"2011"	"Brain and Other Nervous System"	"31010-31040"	330	4799069	6.266
	"Alabama"	"01"	"2011"	"2011"	"Brain"	"31010"	316	4799069	5.976
	"Alabama"	"01"	"2012"	"2012"	"Respiratory System"	"22010-22060"	4333	4815588	75.544
	"Alabama"	"01"	"2012"	"2012"	"Lung and Bronchus"	"22030"	4031	4815588	70.337
	"Alabama"	"01"	"2012"	"2012"	"Brain and Other Nervous System"	"31010-31040"	394	4815588	7.449
	"Alabama"	"01"	"2012"	"2012"	"Brain"	"31010"	374	4815588	7.036
	"Alabama"	"01"	"2012"	"2012"	"Cranial Nerves Other Nervous System"	"31040"	20	4815588	0.413
	"Alabama"	"01"	"2013"	"2013"	"Respiratory System"	"22010-22060"	4240	4830081	72.973
	"Alabama"	"01"	"2013"	"2013"	"Lung and Bronchus"	"22030"	3941	4830081	67.892
	"Alabama"	"01"	"2013"	"2013"	"Brain and Other Nervous System"	"31010-31040"	355	4830081	6.701
	"Alabama"	"01"	"2013"	"2013"	"Brain"	"31010"	343	4830081	6.453
	"Alabama"	"01"	"2014"	"2014"	"Respiratory System"	"22010-22060"	4274	4841799	71.139
	"Alabama"	"01"	"2014"	"2014"	"Lung and Bronchus"	"22030"	3961	4841799	65.986
	"Alabama"	"01"	"2014"	"2014"	"Brain and Other Nervous System"	"31010-31040"	319	4841799	5.920
	"Alabama"	"01"	"2014"	"2014"	"Brain"	"31010"	298	4841799	5.519
	"Alabama"	"01"	"2014"	"2014"	"Cranial Nerves Other Nervous System"	"31040"	21	4841799	0.400
	"Alabama"	"01"	"2015"	"2015"	"Respiratory System"	"22010-22060"	4258	4852347	69.494
	"Alabama"	"01"	"2015"	"2015"	"Lung and Bronchus"	"22030"	3944	4852347	64.428
	"Alabama"	"01"	"2015"	"2015"	"Brain and Other Nervous System"	"31010-31040"	344	4852347	6.375
	"Alabama"	"01"	"2015"	"2015"	"Brain"	"31010"	327	4852347	6.024
	"Alabama"	"01"	"2015"	"2015"	"Cranial Nerves Other Nervous System"	"31040"	17	4852347	0.350
