"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Age-Adjusted Rate
	"Alabama"	"01"	"1999"	"1999"	3062	4430141	67.159
	"Alabama"	"01"	"2000"	"2000"	3181	4452173	68.962
	"Alabama"	"01"	"2001"	"2001"	3115	4467634	66.970
	"Alabama"	"01"	"2002"	"2002"	3208	4480089	68.206
	"Alabama"	"01"	"2003"	"2003"	3311	4503491	69.308
	"Alabama"	"01"	"2004"	"2004"	3266	4530729	67.421
	"Alabama"	"01"	"2005"	"2005"	3339	4565917	68.084
	"Alabama"	"01"	"2006"	"2006"	3219	4628981	64.185
	"Alabama"	"01"	"2007"	"2007"	3399	4672840	66.302
	"Alabama"	"01"	"2008"	"2008"	3326	4718206	63.667
	"Alabama"	"01"	"2009"	"2009"	3555	4757938	66.545
	"Alabama"	"01"	"2010"	"2010"	3510	4785437	64.831
	"Alabama"	"01"	"2011"	"2011"	3427	4799069	61.631
	"Alabama"	"01"	"2012"	"2012"	3331	4815588	58.946
	"Alabama"	"01"	"2013"	"2013"	3462	4830081	60.080
	"Alabama"	"01"	"2014"	"2014"	3407	4841799	57.825
	"Alabama"	"01"	"2015"	"2015"	3285	4852347	54.396
	"Alabama"	"01"	"2016"	"2016"	3320	4863525	54.493
	"Alabama"	"01"	"2017"	"2017"	3218	4874486	51.108
	"Alabama"	"01"	"2018"	"2018"	3237	4887681	50.563
"Total"	"Alabama"	"01"			66178	93758152	61.946
	"Alaska"	"02"	"1999"	"1999"	198	624779	59.092
	"Alaska"	"02"	"2000"	"2000"	216	627963	62.272
	"Alaska"	"02"	"2001"	"2001"	219	633714	59.906
	"Alaska"	"02"	"2002"	"2002"	218	642337	55.329
	"Alaska"	"02"	"2003"	"2003"	233	648414	61.418
	"Alaska"	"02"	"2004"	"2004"	253	659286	62.565
	"Alaska"	"02"	"2005"	"2005"	237	666946	55.558
	"Alaska"	"02"	"2006"	"2006"	225	675302	51.671
	"Alaska"	"02"	"2007"	"2007"	273	680300	60.918
	"Alaska"	"02"	"2008"	"2008"	284	687455	57.673
	"Alaska"	"02"	"2009"	"2009"	291	698895	61.231
	"Alaska"	"02"	"2010"	"2010"	265	713910	54.251
	"Alaska"	"02"	"2011"	"2011"	304	722128	56.466
	"Alaska"	"02"	"2012"	"2012"	287	730443	55.716
	"Alaska"	"02"	"2013"	"2013"	303	737068	51.858
	"Alaska"	"02"	"2014"	"2014"	259	736283	43.112
	"Alaska"	"02"	"2015"	"2015"	282	737498	45.617
	"Alaska"	"02"	"2016"	"2016"	269	741456	44.159
	"Alaska"	"02"	"2017"	"2017"	236	739700	35.833
	"Alaska"	"02"	"2018"	"2018"	248	735139	36.594
"Total"	"Alaska"	"02"			5100	13839016	51.711
	"Arizona"	"04"	"1999"	"1999"	2739	5023823	53.962
	"Arizona"	"04"	"2000"	"2000"	2740	5160586	52.432
	"Arizona"	"04"	"2001"	"2001"	2658	5273477	49.808
	"Arizona"	"04"	"2002"	"2002"	2835	5396255	51.731
	"Arizona"	"04"	"2003"	"2003"	2941	5510364	52.184
	"Arizona"	"04"	"2004"	"2004"	2914	5652404	50.165
	"Arizona"	"04"	"2005"	"2005"	2927	5839077	48.491
	"Arizona"	"04"	"2006"	"2006"	2993	6029141	47.766
	"Arizona"	"04"	"2007"	"2007"	2870	6167681	44.607
	"Arizona"	"04"	"2008"	"2008"	2942	6280362	44.305
	"Arizona"	"04"	"2009"	"2009"	3003	6343154	44.219
	"Arizona"	"04"	"2010"	"2010"	2997	6407172	42.638
	"Arizona"	"04"	"2011"	"2011"	2943	6472643	40.609
	"Arizona"	"04"	"2012"	"2012"	3143	6554978	41.852
	"Arizona"	"04"	"2013"	"2013"	3112	6632764	39.937
	"Arizona"	"04"	"2014"	"2014"	3067	6730413	38.120
