"Notes"	"Region"	"Region Code"	"Year"	"Year Code"	"Age Groups"	"Age Groups Code"	Count	Population	Crude Rate	Crude Rate Standard Error
	"Northeast"	"CENS-R1"	"1999"	"1999"	"< 1 year"	"1"	22	660461	3.331	0.710
	"Northeast"	"CENS-R1"	"1999"	"1999"	"1-4 years"	"1-4"	119	2746790	4.332	0.397
	"Northeast"	"CENS-R1"	"1999"	"1999"	"5-9 years"	"5-9"	119	3776715	3.151	0.289
	"Northeast"	"CENS-R1"	"1999"	"1999"	"10-14 years"	"10-14"	97	3691760	2.627	0.267
	"Northeast"	"CENS-R1"	"1999"	"1999"	"15-19 years"	"15-19"	70	3560810	1.966	0.235
	"Northeast"	"CENS-R1"	"1999"	"1999"	"20-24 years"	"20-24"	78	3274105	2.382	0.270
	"Northeast"	"CENS-R1"	"1999"	"1999"	"25-29 years"	"25-29"	119	3561458	3.341	0.306
	"Northeast"	"CENS-R1"	"1999"	"1999"	"30-34 years"	"30-34"	164	3997143	4.103	0.320
	"Northeast"	"CENS-R1"	"1999"	"1999"	"35-39 years"	"35-39"	172	4462839	3.854	0.294
	"Northeast"	"CENS-R1"	"1999"	"1999"	"40-44 years"	"40-44"	228	4339357	5.254	0.348
	"Northeast"	"CENS-R1"	"1999"	"1999"	"45-49 years"	"45-49"	247	3827827	6.453	0.411
	"Northeast"	"CENS-R1"	"1999"	"1999"	"50-54 years"	"50-54"	271	3368253	8.046	0.489
	"Northeast"	"CENS-R1"	"1999"	"1999"	"55-59 years"	"55-59"	310	2610356	11.876	0.674
	"Northeast"	"CENS-R1"	"1999"	"1999"	"60-64 years "	"60-64"	322	2120986	15.182	0.846
	"Northeast"	"CENS-R1"	"1999"	"1999"	"65-69 years"	"65-69"	341	1925213	17.712	0.959
	"Northeast"	"CENS-R1"	"1999"	"1999"	"70-74 years"	"70-74"	411	1865350	22.033	1.087
	"Northeast"	"CENS-R1"	"1999"	"1999"	"75-79 years"	"75-79"	370	1565081	23.641	1.229
	"Northeast"	"CENS-R1"	"1999"	"1999"	"80-84 years"	"80-84"	256	1071128	23.900	1.494
	"Northeast"	"CENS-R1"	"1999"	"1999"	"85+ years"	"85+"	171	918143	18.625	1.424
"Total"	"Northeast"	"CENS-R1"	"1999"	"1999"			3887	53343775	7.287	0.117
	"Northeast"	"CENS-R1"	"2000"	"2000"	"< 1 year"	"1"	21	669599	3.136	0.684
	"Northeast"	"CENS-R1"	"2000"	"2000"	"1-4 years"	"1-4"	147	2721781	5.401	0.445
	"Northeast"	"CENS-R1"	"2000"	"2000"	"5-9 years"	"5-9"	168	3724368	4.511	0.348
	"Northeast"	"CENS-R1"	"2000"	"2000"	"10-14 years"	"10-14"	117	3776712	3.098	0.286
	"Northeast"	"CENS-R1"	"2000"	"2000"	"15-19 years"	"15-19"	99	3599446	2.750	0.276
	"Northeast"	"CENS-R1"	"2000"	"2000"	"20-24 years"	"20-24"	81	3331356	2.431	0.270
	"Northeast"	"CENS-R1"	"2000"	"2000"	"25-29 years"	"25-29"	99	3438570	2.879	0.289
	"Northeast"	"CENS-R1"	"2000"	"2000"	"30-34 years"	"30-34"	137	3955079	3.464	0.296
	"Northeast"	"CENS-R1"	"2000"	"2000"	"35-39 years"	"35-39"	177	4408843	4.015	0.302
	"Northeast"	"CENS-R1"	"2000"	"2000"	"40-44 years"	"40-44"	243	4391309	5.534	0.355
	"Northeast"	"CENS-R1"	"2000"	"2000"	"45-49 years"	"45-49"	273	3921076	6.962	0.421
	"Northeast"	"CENS-R1"	"2000"	"2000"	"50-54 years"	"50-54"	320	3516048	9.101	0.509
	"Northeast"	"CENS-R1"	"2000"	"2000"	"55-59 years"	"55-59"	307	2692147	11.404	0.651
