"Notes"	"Region"	"Region Code"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate	Crude Rate Standard Error
	"Northeast"	"CENS-R1"	"1999"	"1999"	"1-4 years"	"1-4"	29	2746790	1.056	0.196
	"Northeast"	"CENS-R1"	"1999"	"1999"	"5-9 years"	"5-9"	34	3776715	0.900	0.154
	"Northeast"	"CENS-R1"	"1999"	"1999"	"10-14 years"	"10-14"	20	3691760	0.542	0.121
	"Northeast"	"CENS-R1"	"1999"	"1999"	"20-24 years"	"20-24"	16	3274105	0.489	0.122
	"Northeast"	"CENS-R1"	"1999"	"1999"	"25-29 years"	"25-29"	31	3561458	0.870	0.156
	"Northeast"	"CENS-R1"	"1999"	"1999"	"30-34 years"	"30-34"	45	3997143	1.126	0.168
	"Northeast"	"CENS-R1"	"1999"	"1999"	"35-39 years"	"35-39"	76	4462839	1.703	0.195
	"Northeast"	"CENS-R1"	"1999"	"1999"	"40-44 years"	"40-44"	118	4339357	2.719	0.250
	"Northeast"	"CENS-R1"	"1999"	"1999"	"45-49 years"	"45-49"	159	3827827	4.154	0.329
	"Northeast"	"CENS-R1"	"1999"	"1999"	"50-54 years"	"50-54"	195	3368253	5.789	0.415
	"Northeast"	"CENS-R1"	"1999"	"1999"	"55-59 years"	"55-59"	226	2610356	8.658	0.576
	"Northeast"	"CENS-R1"	"1999"	"1999"	"60-64 years "	"60-64"	220	2120986	10.373	0.699
	"Northeast"	"CENS-R1"	"1999"	"1999"	"65-69 years"	"65-69"	290	1925213	15.063	0.885
	"Northeast"	"CENS-R1"	"1999"	"1999"	"70-74 years"	"70-74"	299	1865350	16.029	0.927
	"Northeast"	"CENS-R1"	"1999"	"1999"	"75-79 years"	"75-79"	310	1565081	19.807	1.125
	"Northeast"	"CENS-R1"	"1999"	"1999"	"80-84 years"	"80-84"	209	1071128	19.512	1.350
	"Northeast"	"CENS-R1"	"1999"	"1999"	"85+ years"	"85+"	127	918143	13.832	1.227
	"Northeast"	"CENS-R1"	"2000"	"2000"	"1-4 years"	"1-4"	19	2721781	0.698	0.160
	"Northeast"	"CENS-R1"	"2000"	"2000"	"5-9 years"	"5-9"	34	3724368	0.913	0.157
	"Northeast"	"CENS-R1"	"2000"	"2000"	"10-14 years"	"10-14"	26	3776712	0.688	0.135
	"Northeast"	"CENS-R1"	"2000"	"2000"	"20-24 years"	"20-24"	20	3331356	0.600	0.134
	"Northeast"	"CENS-R1"	"2000"	"2000"	"25-29 years"	"25-29"	19	3438570	0.553	0.127
	"Northeast"	"CENS-R1"	"2000"	"2000"	"30-34 years"	"30-34"	48	3955079	1.214	0.175
	"Northeast"	"CENS-R1"	"2000"	"2000"	"35-39 years"	"35-39"	68	4408843	1.542	0.187
	"Northeast"	"CENS-R1"	"2000"	"2000"	"40-44 years"	"40-44"	112	4391309	2.550	0.241
	"Northeast"	"CENS-R1"	"2000"	"2000"	"45-49 years"	"45-49"	139	3921076	3.545	0.301
	"Northeast"	"CENS-R1"	"2000"	"2000"	"50-54 years"	"50-54"	208	3516048	5.916	0.410
	"Northeast"	"CENS-R1"	"2000"	"2000"	"55-59 years"	"55-59"	199	2692147	7.392	0.524
	"Northeast"	"CENS-R1"	"2000"	"2000"	"60-64 years "	"60-64"	220	2140093	10.280	0.693
	"Northeast"	"CENS-R1"	"2000"	"2000"	"65-69 years"	"65-69"	247	1908749	12.940	0.823
	"Northeast"	"CENS-R1"	"2000"	"2000"	"70-74 years"	"70-74"	353	1851927	19.061	1.015
	"Northeast"	"CENS-R1"	"2000"	"2000"	"75-79 years"	"75-79"	243	1583969	15.341	0.984
	"Northeast"	"CENS-R1"	"2000"	"2000"	"80-84 years"	"80-84"	213	1091783	19.509	1.337
	"Northeast"	"CENS-R1"	"2000"	"2000"	"85+ years"	"85+"	137	943440	14.521	1.241
	"Northeast"	"CENS-R1"	"2001"	"2001"	"5-9 years"	"5-9"	34	3653201	0.931	0.160
	"Northeast"	"CENS-R1"	"2001"	"2001"	"10-14 years"	"10-14"	22	3838297	0.573	0.122
	"Northeast"	"CENS-R1"	"2001"	"2001"	"20-24 years"	"20-24"	19	3404823	0.558	0.128
	"Northeast"	"CENS-R1"	"2001"	"2001"	"25-29 years"	"25-29"	22	3336029	0.659	0.141
	"Northeast"	"CENS-R1"	"2001"	"2001"	"30-34 years"	"30-34"	42	3912527	1.073	0.166
	"Northeast"	"CENS-R1"	"2001"	"2001"	"35-39 years"	"35-39"	66	4329457	1.524	0.188
	"Northeast"	"CENS-R1"	"2001"	"2001"	"40-44 years"	"40-44"	80	4443311	1.800	0.201
	"Northeast"	"CENS-R1"	"2001"	"2001"	"45-49 years"	"45-49"	148	3999764	3.700	0.304
	"Northeast"	"CENS-R1"	"2001"	"2001"	"50-54 years"	"50-54"	181	3667237	4.936	0.367
	"Northeast"	"CENS-R1"	"2001"	"2001"	"55-59 years"	"55-59"	195	2763170	7.057	0.505
	"Northeast"	"CENS-R1"	"2001"	"2001"	"60-64 years "	"60-64"	223	2175856	10.249	0.686
	"Northeast"	"CENS-R1"	"2001"	"2001"	"65-69 years"	"65-69"	276	1891337	14.593	0.878
